"V1","taxaID","superkingdom","phylum","class","order","family","genus","species","num_contigs"
"NC_043581.1",80942,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Batai orthobunyavirus",NA
"NC_016962.1",59305,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Bebaru virus",5407
"GQ287646.1",11039,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Western equine encephalitis virus",2343
"AB981186.1",673515,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Quang Binh virus",4166
"MN233331.1",11080,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Saint Louis encephalitis virus",6317
"NC_034481.1",35316,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Nyando orthobunyavirus",9616
"NC_018705.3",64292,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Ntaya virus",3795
"MG747542.1",118655,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Oropouche orthobunyavirus",76391
"MK028843.1",11029,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Ross River virus",141
"HM543465.1",204269,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Orbivirus","Great Island virus",5733
"KP009781.1",40050,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Orbivirus","African horse sickness virus",282
"KY012742.1",NA,"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Ephemerovirus","Bovine fever ephemerovirus",9468
"NC_038286.1",11274,"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Vesiculovirus","Piry vesiculovirus",3323
"NC_016961",1159195,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Southern elephant seal virus",01650
"NC_016961.1",48543,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Whataroa virus",6018
"MN135989.1",35511,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Jamestown Canyon orthobunyavirus",67516
"NC_018615.1",1231903,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Eilat virus",84601
"NC_002691",12288,"Viruses","Kitrinoviricota","Magsaviricetes","Nodamuvirales","Nodaviridae","Alphanodavirus","Nodamura virus",775097
